ID,Label,Type
org_2,Bộ Tư pháp,organization
org_3,bo test,organization
org_7,Truong si quan cong binh 2,organization
org_9,"higest, keep",organization
org_10,Child in bo tu phap,organization
person_1154,Cụ Hồ Chí Minh,person
person_1155,Ông Võ Nguyên Giáp,person
person_1156,Ông Trần Huy Liệu,person
person_1157,Ông Chu Văn Tấn,person
person_1158,Ông Dương Đức Hiền,person
person_1159,Ông Nguyễn Mạnh Hà,person
person_1160,Ông Nguyễn Văn Tố,person
person_1161,Ông Vũ Trọng Khánh,person
person_1162,Ông Phạm Ngọc Thạch,person
person_1163,Ông Đào Trọng Kim,person
person_1164,Ông Lê Văn Hiến,person
person_1165,Ông Phạm Văn Đồng,person
person_1166,Ông Vũ Đình Hoè,person
person_1167,Ông Cù Huy Cận,person
person_1168,Ông Nguyễn Văn Xuân,person
person_1169,Ông Nguyễn Hải Thần,person
person_1170,Ông Nguyễn Tường Long,person
person_1171,Ông Trương Đình Tri,person
person_1172,Ông Nguyễn Tường Tam,person
person_1173,Ông Huỳnh Thúc Kháng,person
person_1174,Ông Chu Bá Phượng,person
person_1175,Ông Phan Anh,person
person_1176,Ông Đặng Thai Mai,person
person_1177,Ông Trần Đăng Khoa,person
person_1178,Ông Huỳnh Thiện Lộc (Từ 4-1946),person
person_1179,Ông Bồ Xuân Luật (Đến 4-1946),person
person_1180,Cố Vấn Vĩnh Thụy,person
person_1181,Ông Huỳnh Thúc Kháng (Đến 21-4-1947 Từ Trần),person
person_1182,Ông Phan Kế Toại (Từ 11-1947),person
person_1183,Cụ Hồ Chí Minh (Đến 1947),person
person_1184,Ông Hoàng Minh Giám (Từ Năm 1947 Đến Tháng 4 – 1954).,person
person_1185,Ông Phạm Văn Đồng (Từ 4-1954),person
person_1186,Ông Võ Nguyên Giáp (Đến 1947),person
person_1187,Ông Tạ Quang Bửu (Từ 1947 Đến 7-1948),person
person_1188,Ông Võ Nguyên Giáp (Từ 7-1948),person
person_1189,Ông Phan Anh (Từ 1947),person
person_1190,Ông Ngô Tấn Nhơn,person
person_1191,Ông Nguyễn Văn Huyên,person
person_1192,Ông Nghiêm Xuân Yêm (Từ 3-1954),person
person_1193,Ông Ngô Tấn Nhơn (Đến 3-1954),person
person_1194,Ông Nguyễn Văn Tạo,person
person_1195,Ông Hoàng Tích Trí,person
person_1196,Ông Nguyễn Văn Tố (Hy Sinh Năm 1947),person
person_1197,Ông Đặng Văn Hướng (Từ Năm 1947),person
person_1198,Ông Bồ Xuân Luật,person
person_1199,Ông Nguyễn Lương Bằng (Từ 5-1951),person
person_1200,Ông Trần Quốc Hoàn (Từ 6-1953),person
person_1201,Ông Phạm Văn Đồng (Từ 9-1955),person
person_1202,Ông Phan Kế Toại (Từ 9-1955),person
person_1203,Ông Võ Nguyên Giáp (Từ 9-1955),person
person_1204,Ông Trường Chinh (Từ 4-1958),person
person_1205,Ông Phạm Hùng (Từ 4-1958),person
person_1206,Ông Trần Quốc Hoàn,person
person_1207,Ông Lê Văn Hiến (Đến 6-1958),person
person_1208,Ông Hoàng Anh (Từ 6-1958),person
person_1209,Ông Nguyễn Văn Trân (Từ 9-1955),person
person_1210,Ông Trần Đăng Khoa (Từ 9-1955 Đến 4-1958),person
person_1211,Ông Trần Đăng Khoa (Từ 4-1958),person
person_1212,Ông Bùi Quang Tạo (Từ 4-1958),person
person_1213,Ông Lê Thanh Nghị (Từ 9-1955),person
person_1214,Ông Phan Anh (Từ 9-1955 Đến 4-1958),person
person_1215,Ông Đỗ Mười (Từ 4-1958),person
person_1216,Ông Phan Anh (Từ 4-1958),person
person_1217,Ông Hoàng Tích Trí (Đến 5-1959),person
person_1218,Ông Phạm Ngọc Thạch (Từ 5-1959),person
person_1219,Ông Vũ Đình Hòe,person
person_1220,Ông Hoàng Minh Giám,person
person_1221,"Ông Vũ Đình Tụng (Đến 5-1959, Vì Giải Thể)",person
person_1222,"Ông Nguyễn Xiển (Từ 9-1955 Đến 5-1959, Vì Giải Thể)",person
person_1223,Ông Nghiêm Xuân Yêm,person
person_1224,Ông Phạm Hùng (Từ 9-1955 Đến 4-1958),person
person_1225,Ông Nguyễn Duy Trinh (Từ 4-1958 Đến 12-1958),person
person_1226,Ông Nguyễn Khang (Từ 5-1959),person
person_1227,Ông Nguyễn Văn Trân (Từ 4-1958 Đến 12-1958),person
person_1228,Ông Nguyễn Duy Trinh (Từ 5-1959),person
person_1229,Ông Lê Văn Hiến (Từ 12-1958),person
person_1230,Ông Trường Chinh (Phó Thủ Tướng Kiêm Chức Từ 4-1958),person
person_1231,Ông Phạm Hùng,person
person_1232,Ông Phan Kế Toại,person
person_1233,Ông Nguyễn Duy Trinh,person
person_1234,Ông Lê Thanh Nghị,person
person_1235,Ông Trần Hữu Dực (Từ Tháng 1-1963),person
person_1236,Ông Phạm Hùng (Đến Tháng 1-1963),person
person_1237,Ông Hoàng Anh (Đến Tháng 1-1963),person
person_1238,Ông Phạm Hùng (Từ Tháng 1-1963),person
person_1239,Ông Tố Hữu (Đến Tháng 1-1963),person
person_1240,Ông Lê Liêm (Từ Tháng 1-1963),person
person_1241,Ông Nguyễn Khang,person
person_1242,Ông Phan Kế Toại (Đến 30-4-1963),person
person_1243,Ông Ung Văn Khiêm (Từ 30-4-1963),person
person_1244,Ông Phạm Văn Đồng (Thủ Tướng Kiêm Chức Đến 2-1961),person
person_1245,Ông Ung Văn Khiêm (Từ 2-1961 Đến 30-4-1963),person
person_1246,Ông Xuân Thủy (Từ 30-4-1963),person
person_1247,Ông Nghiêm Xuân Yêm (Đến 1-1963),person
person_1248,Ông Dương Quốc Chính (Từ 1-1963),person
person_1249,Ông Trần Hữu Dực (Đến 1-1963),person
person_1250,Ông Nghiêm Xuân Yêm (Từ 1-1963),person
person_1251,Ông Dương Quốc Chính (Đến 1-1963),person
person_1252,Ông Hà Kế Tấn (Từ 1-1963),person
person_1253,Ông Nguyễn Văn Trân,person
person_1254,Ông Kha Vạng Cân,person
person_1255,Ông Bùi Quang Tạo,person
person_1256,Ông Phan Trọng Tuệ,person
person_1257,Ông Hoàng Anh,person
person_1258,Ông Đỗ Mười (Đến 1-1961),person
person_1259,Ông Nguyễn Thanh Bình (Từ 2-1961 Là Quyền Bộ Trưởng.Từ 1-1963 Là Bộ Trưởng),person
person_1260,Ông Võ Nguyên Giáp (Phó Thủ Tướng Kiêm Chức Đến 1-1963),person
person_1261,Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức Từ 1-1963),person
person_1262,Ông Lê Quảng Ba,person
person_1263,Ông Nguyễn Lương Bằng,person
person_1264,Ông Nguyễn Văn Vịnh,person
person_1265,Ông Tạ Hoàng Cơ (Quyền Tổng Giám Đốc Từ 1-1963),person
person_1266,Ông Lê Viết Lượng (Đến 01-1963),person
person_1267,Ông Nguyễn Côn (Từ 11-1967),person
person_1268,Ông Đỗ Mười (Từ 12-1969),person
person_1269,Ông Hoàng Anh (Từ 4-1971),person
person_1270,Ông Trần Hữu Dực (Đến 4-1965),person
person_1271,Ông Hoàng Anh (Từ 4-1965 Đến 12-1969),person
person_1272,Ông Lê Thanh Nghị (Đến 2-1967),person
person_1273,Ông Trần Danh Tuyên (Từ 1967 Đến 12-1969),person
person_1274,Ông Phạm Hùng (Phó Thủ Tướng Kiêm Chức Đến 4-1966),person
person_1275,Ông Nguyễn Thanh Bình (Từ 4-1966 Đến 12-1969),person
person_1276,Ông Nguyễn Văn Tạo (Từ 10-1965),person
person_1277,Ông Trần Quốc Hoàn (Đến 10-1965),person
person_1278,Ông Lê Liêm (Đến 10-1965),person
person_1279,Ông Trần Quang Huy (Từ 10-1965),person
person_1280,"Ông Đỗ Mười (Phó Thủ Tướng Kiêm Chức Từ 12-1969, Sau Khi Sáp Nhập Ba Văn Phòng Nông, Công Nghiệp ,",person
person_1281,Ông Nguyễn Khang (Đến 4-1965),person
person_1282,Ông Trần Hữu Dực (Từ 4-1965),person
person_1283,Ông Xuân Thủy (Từ 1968),person
person_1284,Ông Ung Văn Khiêm,person
person_1285,Ông Xuân Thủy (Đến 4-1965),person
person_1286,Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức Từ 4-1965),person
person_1287,Ông Võ Nguyên Giáp (Phó Thủ Tướng Kiêm Chức),person
person_1288,Ông Dương Quốc Chính (Đến 4-1965),person
person_1289,Ông Hoàng Anh (Từ 4-1965 Đến 11-1967),person
person_1290,Ông Nguyễn Văn Lộc (Từ 11-1967 Đến 4-1971),person
person_1291,Ông Nghiêm Xuân Yêm (Đến 4-1971),person
person_1292,Ông Hà Kế Tấn,person
person_1293,Ông Nguyễn Văn Trân (Đến 2-1967),person
person_1294,Ông Lê Thanh Nghị (Phó Thủ Tướng Kiêm Chức Từ 2-1967 Đến 11-1967),person
person_1295,Ông Nguyễn Hữu Mai (Từ 11-1967 Đến 12-1969),person
person_1296,Ông Nguyễn Văn Tạo (Đến 10-1965),person
person_1297,Ông Nguyễn Hữu Khiếu (Từ 10-1965),person
