ID,Custom ID,Name,Date of Birth,Hometown,Current Position
1154,PER00001,Cụ Hồ Chí Minh,,,Chủ tịch nước
1155,PER00002,Ông Võ Nguyên Giáp,,,Phó Chủ tịch Hội đồng Bộ trưởng
1156,PER00003,Ông Trần Huy Liệu,,,Bộ trưởng  Bộ Tuyên truyền và Cổ động
1157,PER00004,Ông Chu Văn Tấn,,,Bộ trưởng  Bộ Quốc phòng
1158,PER00005,Ông Dương Đức Hiền,,,Bộ trưởng  Bộ Thanh niên
1159,PER00006,Ông Nguyễn Mạnh Hà,,,Bộ trưởng  Bộ Kinh tế quốc gia
1160,PER00007,Ông Nguyễn Văn Tố,,,Bộ trưởng  Bộ Cứu tế xã hội
1161,PER00008,Ông Vũ Trọng Khánh,,,Bộ trưởng  Bộ Tư pháp
1162,PER00009,Ông Phạm Ngọc Thạch,,,Bộ trưởng  Bộ Y tế
1163,PER00010,Ông Đào Trọng Kim,,,Bộ trưởng  Bộ Giao thông Công chính
1164,PER00011,Ông Lê Văn Hiến,,,"Bộ trưởng  không bộ, phụ trách Phó Chủ nhiệm Ủy ban Kế hoạch Nhà nước"
1165,PER00012,Ông Phạm Văn Đồng,,,Chủ tịch Hội đồng Bộ trưởng
1166,PER00013,Ông Vũ Đình Hoè,,,Bộ trưởng  Bộ Tư pháp
1167,PER00014,Ông Cù Huy Cận,,,Bộ trưởng phụ trách  Công tác Văn hoá Nghệ thuật tại Văn phòng Hội đồng Bộ trưởng (từ 9-1984)
1168,PER00015,Ông Nguyễn Văn Xuân,,,Bộ trưởng  không  Bộ
1169,PER00016,Ông Nguyễn Hải Thần,,,Phó Chủ tịch
1170,PER00017,Ông Nguyễn Tường Long,,,Bộ trưởng  Bộ Quốc dân Kinh tế
1171,PER00018,Ông Trương Đình Tri,,,"Bộ trưởng   Bộ Xã hội kiêm Y tế, Cứu tế và Lao động"
1172,PER00019,Ông Nguyễn Tường Tam,,,Bộ trưởng  Bộ Ngoại giao
1173,PER00020,Ông Huỳnh Thúc Kháng,,,Bộ trưởng  Bộ Nội vụ
1174,PER00021,Ông Chu Bá Phượng,,,Bộ trưởng  Bộ Cứu tế
1175,PER00022,Ông Phan Anh,,,Bộ trưởng  Bộ Ngoại thương
1176,PER00023,Ông Đặng Thai Mai,,,Bộ trưởng  Bộ Giáo dục
1177,PER00024,Ông Trần Đăng Khoa,,,Bộ trưởng  Bộ Giao thông
1178,PER00025,Ông Huỳnh Thiện Lộc (Từ 4-1946),,,Bộ trưởng  Bộ Canh nông
1179,PER00026,Ông Bồ Xuân Luật (Đến 4-1946),,,Bộ trưởng  Bộ Canh nông
1180,PER00027,Cố Vấn Vĩnh Thụy,,,Đoàn  Cố vấn tối cao
1181,PER00028,Ông Huỳnh Thúc Kháng (Đến 21-4-1947 Từ Trần),,,Bộ trưởng  Bộ Nội vụ
1182,PER00029,Ông Phan Kế Toại (Từ 11-1947),,,Quyền Bộ trưởng  Bộ Nội vụ
1183,PER00030,Cụ Hồ Chí Minh (Đến 1947),,,Bộ trưởng  Bộ Ngoại giao
1184,PER00031,Ông Hoàng Minh Giám (Từ Năm 1947 Đến Tháng 4 – 1954).,,,Bộ trưởng  Bộ Ngoại giao
1185,PER00032,Ông Phạm Văn Đồng (Từ 4-1954),,,Bộ trưởng  Bộ Ngoại giao
1186,PER00033,Ông Võ Nguyên Giáp (Đến 1947),,,Bộ trưởng  Bộ Quốc phòng
1187,PER00034,Ông Tạ Quang Bửu (Từ 1947 Đến 7-1948),,,Bộ trưởng  Bộ Quốc phòng
1188,PER00035,Ông Võ Nguyên Giáp (Từ 7-1948),,,Bộ trưởng  Bộ Quốc phòng
1189,PER00036,Ông Phan Anh (Từ 1947),,,Bộ trưởng  Bộ Kinh tế (từ 5-1951 đổi tên là Bộ Công thương)
1190,PER00037,Ông Ngô Tấn Nhơn,,,Bộ trưởng  Bộ Kinh tế (từ 5-1951 đổi tên là Bộ Công thương)
1191,PER00038,Ông Nguyễn Văn Huyên,,,Bộ trưởng  Bộ Giáo dục
1192,PER00039,Ông Nghiêm Xuân Yêm (Từ 3-1954),,,Bộ trưởng  Bộ Canh nông
1193,PER00040,Ông Ngô Tấn Nhơn (Đến 3-1954),,,Bộ trưởng  Bộ Canh nông
1194,PER00041,Ông Nguyễn Văn Tạo,,,Bộ trưởng  Bộ Lao động
1195,PER00042,Ông Hoàng Tích Trí,,,Bộ trưởng  Bộ Y tế
1196,PER00043,Ông Nguyễn Văn Tố (Hy Sinh Năm 1947),,,Bộ trưởng  không Bộ
1197,PER00044,Ông Đặng Văn Hướng (Từ Năm 1947),,,Bộ trưởng  không Bộ
1198,PER00045,Ông Bồ Xuân Luật,,,Bộ trưởng  không Bộ
1199,PER00046,Ông Nguyễn Lương Bằng (Từ 5-1951),,,Tổng giám đốc  Ngân hàng Quốc gia Việt Nam (thành lập 5-1951)
1200,PER00047,Ông Trần Quốc Hoàn (Từ 6-1953),,,Bộ trưởng  Bộ Công an (tháng 6-1953 đổi tên Thứ Bộ Công an thành Bộ Công an)
1201,PER00048,Ông Phạm Văn Đồng (Từ 9-1955),,,Thủ tướng kiêm Bộ trưởng Bộ Ngoại giao
1202,PER00049,Ông Phan Kế Toại (Từ 9-1955),,,Phó Thủ tướng kiêm Bộ trưởng Bộ Nội vụ
1203,PER00050,Ông Võ Nguyên Giáp (Từ 9-1955),,,Phó Thủ tướng kiêm Bộ trưởng Bộ Quốc phòng
1204,PER00051,Ông Trường Chinh (Từ 4-1958),,,Phó Thủ tướng
1205,PER00052,Ông Phạm Hùng (Từ 4-1958),,,Phó Thủ tướng
1206,PER00053,Ông Trần Quốc Hoàn,,,Bộ trưởng  Bộ Nội vụ
1207,PER00054,Ông Lê Văn Hiến (Đến 6-1958),,,Bộ trưởng  Bộ Tài chính
1208,PER00055,Ông Hoàng Anh (Từ 6-1958),,,Bộ trưởng  Bộ Tài chính
1209,PER00056,Ông Nguyễn Văn Trân (Từ 9-1955),,,Bộ trưởng  Bộ Giao thông và Bưu điện
1210,PER00057,Ông Trần Đăng Khoa (Từ 9-1955 Đến 4-1958),,,Bộ trưởng  Bộ Thủy lợi và Kiến trúc
1211,PER00058,Ông Trần Đăng Khoa (Từ 4-1958),,,Bộ trưởng  Bộ Thủy lợi
1212,PER00059,Ông Bùi Quang Tạo (Từ 4-1958),,,Bộ trưởng  Bộ Kiến trúc
1213,PER00060,Ông Lê Thanh Nghị (Từ 9-1955),,,Bộ trưởng  Bộ Công nghiệp
1214,PER00061,Ông Phan Anh (Từ 9-1955 Đến 4-1958),,,Bộ trưởng  Bộ Thương nghiệp
1215,PER00062,Ông Đỗ Mười (Từ 4-1958),,,Bộ trưởng  Bộ Nội thương
1216,PER00063,Ông Phan Anh (Từ 4-1958),,,Bộ trưởng  Bộ Ngoại thương
1217,PER00064,Ông Hoàng Tích Trí (Đến 5-1959),,,Bộ trưởng  Bộ Y tế
1218,PER00065,Ông Phạm Ngọc Thạch (Từ 5-1959),,,Bộ trưởng  Bộ Y tế
1219,PER00066,Ông Vũ Đình Hòe,,,Bộ trưởng  Bộ Tư pháp
1220,PER00067,Ông Hoàng Minh Giám,,,Bộ trưởng  Bộ Văn hoá
1221,PER00068,"Ông Vũ Đình Tụng (Đến 5-1959, Vì Giải Thể)",,,Bộ trưởng  Bộ Thương binh
1222,PER00069,"Ông Nguyễn Xiển (Từ 9-1955 Đến 5-1959, Vì Giải Thể)",,,Bộ trưởng  Bộ Cứu tế
1223,PER00070,Ông Nghiêm Xuân Yêm,,,Bộ trưởng phụ trách  Khoa học và Kỹ thuật Nông nghiệp
1224,PER00071,Ông Phạm Hùng (Từ 9-1955 Đến 4-1958),,,Bộ trưởng  Phủ Thủ tướng
1225,PER00072,Ông Nguyễn Duy Trinh (Từ 4-1958 Đến 12-1958),,,Bộ trưởng  Phủ Thủ tướng
1226,PER00073,Ông Nguyễn Khang (Từ 5-1959),,,Bộ trưởng  Phủ Thủ tướng
1227,PER00074,Ông Nguyễn Văn Trân (Từ 4-1958 Đến 12-1958),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1228,PER00075,Ông Nguyễn Duy Trinh (Từ 5-1959),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1229,PER00076,Ông Lê Văn Hiến (Từ 12-1958),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1230,PER00077,Ông Trường Chinh (Phó Thủ Tướng Kiêm Chức Từ 4-1958),,,Chủ nhiệm  Ủy ban Khoa học Nhà nước
1231,PER00078,Ông Phạm Hùng,,,Phó Thủ tướng
1232,PER00079,Ông Phan Kế Toại,,,Phó Thủ tướng
1233,PER00080,Ông Nguyễn Duy Trinh,,,Phó Thủ tướng
1234,PER00081,Ông Lê Thanh Nghị,,,Phó Thủ tướng
