ID,Person,Organization,Title,Start,End
4412,Nguyễn Tấn Dũng,,"TÓM TẮT QUÁ TRÌNH CÔNG TÁC - Từ tháng 11-1961 đến tháng 9-1981: Tham gia công tác, chiến đấu trong Quân đội",,
4413,Nguyễn Tấn Dũng,,"Làm liên lạc, văn thư, cứu thương, y tá; học Bổ túc văn hóa cấp III, Khóa đào tạo Quân Y sĩ và Chương trình phẫu thuật ngoại khoa của Bác sĩ Quân y",,
4414,Nguyễn Tấn Dũng,,"Đảm trách các nhiệm vụ: Đội trưởng Đội phẫu thuật, Đại đội trưởng và Chính trị viên Đại đội Quân y (Bí thư chi bộ Đảng)",,
4415,Nguyễn Tấn Dũng,,"Được đề bạt các cấp bậc: Tiểu đội bậc trưởng, Trung đội bậc trưởng, Đại đội bậc phó, Đại đội bậc trưởng - thuộc Tỉnh đội tỉnh Rạch Giá",,
4416,Nguyễn Tấn Dũng,,"Sau ngày 30- 4-1975, được phiên ngang quân hàm là Trung úy Quân đội Nhân dân Việt Nam; học khóa Sỹ quan chỉ huy cấp Tiểu đoàn - Trung đoàn và đảm trách các nhiệm vụ: Thượng úy Chính trị viên Tiểu đoàn Bộ binh 207 (Bí thư Đảng ủy Tiểu đoàn); Đại úy Chủ nhiệm chính trị Trung đoàn Bộ binh 152 (Ủy viên thường vụ Đảng ủy Trung đoàn) trực tiếp chiến đấu bảo vệ Tổ quốc trên biên giới Tây Nam và tham gia Quân tình nguyện Việt Nam chiến đấu làm nghĩa vụ quốc tế giúp nước bạn Campuchia",,
4417,Nguyễn Tấn Dũng,,"Được phong cấp hàm Thiếu tá đảm trách nhiệm vụ Trưởng Ban cán bộ, Phó Bí thư Đảng ủy Phòng Chính trị - Bộ Chỉ huy Quân sự tỉnh Kiên Giang",,
4418,Nguyễn Tấn Dũng,,"Được tặng thưởng Huân chương Kháng chiến hạng I; 02 Huân chương Chiến công hạng III; 06 Danh hiệu Dũng sĩ và Huân chương Chiến sĩ giải phóng hạng I, II, III",,
4419,Nguyễn Tấn Dũng,,"- Từ tháng 10-1981 đến tháng 12-1994: Học Chương trình Lý luận chính trị Cao cấp tại Trường Đảng cao cấp Nguyễn Ái Quốc - Hà Nội và đảm trách các nhiệm vụ: Phó Trưởng ban Ban Tổ chức Tỉnh ủy Kiên Giang; Tỉnh ủy viên và Ủy viên Ban thường vụ Tỉnh ủy - Bí thư Huyện ủy Hà Tiên; Phó Bí thư thường trực Tỉnh ủy; Phó Bí thư Tỉnh ủy, Đại biểu Hội đồng nhân dân tỉnh - Chủ tịch Ủy ban nhân dân tỉnh Kiên Giang; Bí thư Tỉnh ủy - Bí thư Đảng ủy quân sự tỉnh Kiên Giang và Đảng ủy viên Đảng ủy Quân khu 9",,
4420,Nguyễn Tấn Dũng,,"Năm 1991 - 1994, học khóa Cử nhân Luật tại chức của Trường Đại học Luật Thành phố Hồ Chí Minh",,
4421,Nguyễn Tấn Dũng,,- Từ tháng 01-1995 đến tháng 5-1996: Thứ trưởng Bộ Nội vụ - Đảng ủy viên Đảng ủy Công an Trung ương,,
4422,Nguyễn Tấn Dũng,,- Từ tháng 6-1996 đến tháng 8-1997: Ủy viên Bộ Chính trị và Ủy viên thường vụ Bộ Chính trị - Trưởng ban Kinh tế Trung ương Đảng và được phân công chỉ đạo công tác Tài chính - Kinh tế của Đảng,,
