hometown,latitude,longitude
Nam Định,19.9952624,106.485807
Hà Tĩnh,18.3504832,105.7623047
thành phố Hà Nội,21.0283334,105.854041
Nghệ An,19.1976001,105.060676
Thái Bình,20.4031348,106.5941615
Hưng Yên,20.6065846,106.2843471
Cà Mau,9.0180177,105.0869724
Đồng Tháp,10.425183,105.9271362
Hà Nam,20.5340294,105.9810248
Hà Nội,21.0283334,105.854041
Hải Dương,20.9602883,106.3604393
Quảng Nam,11.9537073,108.4306103
thành phố Hải Phòng,20.858864,106.6749591
Thanh Hóa),19.9781573,105.4816107
Trà Vinh,9.5815192,106.5307116
Long An,10.480828,107.2008562
Quảng Ngãi,14.9953739,108.691729
Lào Cai,22.3069302,104.1829592
Ninh Bình,20.2421142,105.9746207
Trung Hòa,20.9072496,105.6432291
TP Hà Nội,21.0283334,105.854041
Quảng Trị,17.3024666,106.6624287
Bắc Ninh,21.3282166,106.4625257
Bạc Liêu,8.8961366,105.6969598
Thanh Hóa,19.9781573,105.4816107
Tuyên Quang,22.3382057,105.0715846
Bến Tre,9.883743,106.7340154
Tây Ninh,11.0800527,106.2610531
Thừa Thiên Huế,16.5530473,107.6900375
,15.9266657,107.9650855
Hải Phòng,20.858864,106.6749591
Lâm Đồng,11.6614957,108.1335279
Thành phố Đà Nẵng,16.068,108.212
Thành phố Hà Nội,21.0283334,105.854041
Phú Thọ,21.3007538,105.1349604
Hậu Giang,9.7881262,105.6390398
Bắc Giang,21.3740092,106.4663176
,15.9266657,107.9650855
